/informationTable,,,,,,,,,,,,,,,
/infoTable/cusip,/infoTable/investmentDiscretion,/infoTable/nameOfIssuer,/infoTable/otherManager,/infoTable/shrsOrPrnAmt/sshPrnamt,/infoTable/shrsOrPrnAmt/sshPrnamt/#agg,/infoTable/shrsOrPrnAmt/sshPrnamtType,/infoTable/titleOfClass,/infoTable/value,/infoTable/value/#agg,/infoTable/votingAuthority/None,/infoTable/votingAuthority/None/#agg,/infoTable/votingAuthority/Shared,/infoTable/votingAuthority/Shared/#agg,/infoTable/votingAuthority/Sole,/infoTable/votingAuthority/Sole/#agg
55261F104,DFND,M & T BK CORP,"4,11",4671245,4671245,SH,COM,792944,792944,0,0,0,0,4671245,4671245
57636Q104,DFND,MASTERCARD INC,"4,8,11",4934756,4934756,SH,CL A,1473469,1473469,0,0,0,0,4934756,4934756
609207105,DFND,MONDELEZ INTL INC,4,578000,578000,SH,CL A,31836,31836,0,0,0,0,578000,578000
615369105,DFND,MOODYS CORP,"4,8,11",11973928,11973928,SH,COM,2842730,2842730,0,0,0,0,11973928,11973928
615369105,DFND,MOODYS CORP,"4,11",12695850,12695850,SH,COM,3014122,3014122,0,0,0,0,12695850,12695850
674599105,DFND,OCCIDENTAL PETE CORP,"1,2,4,11",1243000,1243000,SH,COM,51224,51224,0,0,0,0,1243000,1243000
674599105,DFND,OCCIDENTAL PETE CORP,"4,6",1167000,1167000,SH,COM,48092,48092,0,0,0,0,1167000,1167000
674599105,DFND,OCCIDENTAL PETE CORP,"4,11",14523054,14523054,SH,COM,598495,598495,0,0,0,0,14523054,14523054
674599105,DFND,OCCIDENTAL PETE CORP,"4,12",2000000,2000000,SH,COM,82420,82420,0,0,0,0,2000000,2000000
693475105,DFND,PNC FINL SVCS GROUP INC,"2,4,11",1379300,1379300,SH,COM,220178,220178,0,0,0,0,1379300,1379300
693475105,DFND,PNC FINL SVCS GROUP INC,"4,6",212500,212500,SH,COM,33921,33921,0,0,0,0,212500,212500
693475105,DFND,PNC FINL SVCS GROUP INC,"4,5,9",1742500,1742500,SH,COM,278155,278155,0,0,0,0,1742500,1742500
693475105,DFND,PNC FINL SVCS GROUP INC,"4,11",5248754,5248754,SH,COM,837859,837859,0,0,0,0,5248754,5248754
693475105,DFND,PNC FINL SVCS GROUP INC,"4,14",88000,88000,SH,COM,14047,14047,0,0,0,0,88000,88000
718546104,DFND,PHILLIPS 66,"4,11",227436,227436,SH,COM,25339,25339,0,0,0,0,227436,227436
742718109,DFND,PROCTER & GAMBLE CO,4,315400,315400,SH,COM,39393,39393,0,0,0,0,315400,315400
74967X103,DFND,RH,4,763269,763269,SH,COM,162958,162958,0,0,0,0,763269,763269
74967X103,DFND,RH,"4,11",945079,945079,SH,COM,201774,201774,0,0,0,0,945079,945079
76131D103,DFND,RESTAURANT BRANDS INTL INC,"4,11",8438225,8438225,SH,COM,538106,538106,0,0,0,0,8438225,8438225
78462F103,DFND,SPDR S&P 500 ETF TR,4,39400,39400,SH,TR UNIT,12681,12681,0,0,0,0,39400,39400
82968B103,DFND,SIRIUS XM HLDGS INC,4,91907788,91907788,SH,COM,657141,657141,0,0,0,0,91907788,91907788
82968B103,DFND,SIRIUS XM HLDGS INC,"4,8,11",44367941,44367941,SH,COM,317231,317231,0,0,0,0,44367941,44367941
844741108,DFND,SOUTHWEST AIRLS CO,4,6956500,6956500,SH,COM,375512,375512,0,0,0,0,6956500,6956500
844741108,DFND,SOUTHWEST AIRLS CO,"4,8,11",1034747,1034747,SH,COM,55856,55856,0,0,0,0,1034747,1034747
844741108,DFND,SOUTHWEST AIRLS CO,"4,5,9",8722,8722,SH,COM,471,471,0,0,0,0,8722,8722
844741108,DFND,SOUTHWEST AIRLS CO,"4,11",45649244,45649244,SH,COM,2464146,2464146,0,0,0,0,45649244,45649244
862121100,DFND,STORE CAP CORP,"4,11",18621674,18621674,SH,COM,693471,693471,0,0,0,0,18621674,18621674
867224107,DFND,SUNCOR ENERGY INC NEW,4,10758000,10758000,SH,COM,352862,352862,0,0,0,0,10758000,10758000
867224107,DFND,SUNCOR ENERGY INC NEW,"4,11",1956124,1956124,SH,COM,64161,64161,0,0,0,0,1956124,1956124
867224107,DFND,SUNCOR ENERGY INC NEW,"4,12",2304907,2304907,SH,COM,75601,75601,0,0,0,0,2304907,2304907
87165B103,DFND,SYNCHRONY FINL,4,17463000,17463000,SH,COM,628843,628843,0,0,0,0,17463000,17463000
87165B103,DFND,SYNCHRONY FINL,"4,8,11",3340000,3340000,SH,COM,120273,120273,0,0,0,0,3340000,3340000
881624209,DFND,TEVA PHARMACEUTICAL INDS LTD,4,22285000,22285000,SH,SPONSORED ADR,218393,218393,0,0,0,0,22285000,22285000
881624209,DFND,TEVA PHARMACEUTICAL INDS LTD,"4,8,11",2709585,2709585,SH,SPONSORED ADR,26554,26554,0,0,0,0,2709585,2709585
881624209,DFND,TEVA PHARMACEUTICAL INDS LTD,"4,11",18254710,18254710,SH,SPONSORED ADR,178896,178896,0,0,0,0,18254710,18254710
8.9417E+113,DFND,TRAVELERS COMPANIES INC,"4,11",312379,312379,SH,COM,42780,42780,0,0,0,0,312379,312379
902973304,DFND,US BANCORP DEL,4,590275,590275,SH,COM NEW,34997,34997,0,0,0,0,590275,590275
902973304,DFND,US BANCORP DEL,"1,2,4,11",3850000,3850000,SH,COM NEW,228267,228267,0,0,0,0,3850000,3850000
902973304,DFND,US BANCORP DEL,"2,4,11",4840500,4840500,SH,COM NEW,286993,286993,0,0,0,0,4840500,4840500
902973304,DFND,US BANCORP DEL,"4,5",24307300,24307300,SH,COM NEW,1441180,1441180,0,0,0,0,24307300,24307300
902973304,DFND,US BANCORP DEL,"4,6",1175000,1175000,SH,COM NEW,69666,69666,0,0,0,0,1175000,1175000
902973304,DFND,US BANCORP DEL,"4,8,11",12679300,12679300,SH,COM NEW,751756,751756,0,0,0,0,12679300,12679300
902973304,DFND,US BANCORP DEL,"4,5,9",4204800,4204800,SH,COM NEW,249303,249303,0,0,0,0,4204800,4204800
902973304,DFND,US BANCORP DEL,"4,10",3789000,3789000,SH,COM NEW,224650,224650,0,0,0,0,3789000,3789000
902973304,DFND,US BANCORP DEL,"4,11",75278443,75278443,SH,COM NEW,4463259,4463259,0,0,0,0,75278443,75278443
902973304,DFND,US BANCORP DEL,"4,14",1745000,1745000,SH,COM NEW,103461,103461,0,0,0,0,1745000,1745000
910047109,DFND,UNITED CONTL HLDGS INC,"4,8,11",5668831,5668831,SH,COM,499367,499367,0,0,0,0,5668831,5668831
910047109,DFND,UNITED CONTL HLDGS INC,"4,11",16269811,16269811,SH,COM,1433208,1433208,0,0,0,0,16269811,16269811
911312106,DFND,UNITED PARCEL SERVICE INC,4,59400,59400,SH,CL B,6953,6953,0,0,0,0,59400,59400
922908363,DFND,VANGUARD INDEX FDS,4,43000,43000,SH,S&P 500 ETF SHS,12719,12719,0,0,0,0,43000,43000
